,Channel,Category,Engagement,Total No. of Posts
0,India Today,POLITICAL,12692,44
1,India Today,Sports,11747,25
2,India Today,TRENDING,8971,32
3,India Today,International,4479,26
4,The Times of India,International,4233,23
5,CNN News18,Sports,3834,46
6,The Times of India,Sports,3583,13
7,CNN News18,TRENDING,3336,48
8,Firstpost,International,3105,50
9,India Today,Technology,2717,13
10,The Times of India,PROMOTION,2510,35
11,NDTV,TRENDING,2435,61
12,CNN News18,BOLLYWOOD,2404,52
13,The Times of India,TRENDING,2327,12
14,NDTV,POLITICAL,1968,47
15,India Today,CRIME,1929,9
16,Firstpost,TV SHOW,1862,55
17,Firstpost,Sports,1705,18
18,CNN News18,POLITICAL,1588,16
19,India Today,CONCLAVE,1547,9
20,The Times of India,CRIME,1545,9
21,Firstpost,TRENDING,1432,19
22,CNN News18,International,1429,23
23,The Times of India,Technology,1163,7
24,NDTV,International,1054,35
25,NDTV,CRIME,984,31
26,India Today,BUSINESS,976,4
27,India Today,War,901,5
28,The Times of India,POLITICAL,803,5
29,The Times of India,War,787,3
30,India Today,QUIZ,759,2
31,Firstpost,War,708,12
32,Firstpost,HEALTH,612,12
33,The Times of India,BUSINESS,565,4
34,Firstpost,POLITICAL,557,5
35,NDTV,Sports,515,11
36,CNN News18,CRIME,515,8
37,NDTV,BUSINESS,413,15
38,Firstpost,CRIME,408,4
39,The Times of India,HOROSCOPE,394,7
40,Firstpost,BUSINESS,390,7
41,Republic,POLITICAL,376,47
42,India Today,AUTO,359,1
43,Firstpost,Technology,339,6
44,CNN News18,Technology,295,6
45,Republic,TRENDING,286,45
46,India Today,PROMOTION,263,7
47,The Times of India,HEALTH,255,3
48,CNN News18,War,241,4
49,Firstpost,BOLLYWOOD,240,5
50,The Times of India,EDUCATION,218,3
51,India Today,BOLLYWOOD,208,1
52,Firstpost,EDUCATION,159,1
53,CNN News18,BUSINESS,149,2
54,NDTV,Technology,143,6
55,Republic,International,136,18
56,The Times of India,BOLLYWOOD,136,1
57,Republic,CONCLAVE,135,19
58,NDTV,BOLLYWOOD,107,4
59,Republic,CRIME,105,13
60,Republic,TV SHOW,95,13
61,CNN News18,HEALTH,93,1
62,CNN News18,PROMOTION,89,1
63,NDTV,FESTIVAL,79,1
64,NDTV,EDUCATION,77,1
65,India Today,PODCAST,54,1
66,CNN News18,FESTIVAL,43,1
67,Republic,Sports,38,4
68,Republic,Technology,35,7
69,Republic,BOLLYWOOD,31,6
70,CNN News18,TV SHOW,30,1
71,CNN News18,AUTO,28,1
72,NDTV,War,21,2
73,Republic,War,17,3
74,Republic,BUSINESS,11,6
75,NDTV,HEALTH,11,1
76,Republic,EDUCATION,10,1
77,Times Now,BOLLYWOOD,10,1
